"","title.link","title.name","exclusive","cumulative_rank","Type","rating","AVG_Nmpaa_comp","AVG_Ngenre_comp","Holiday_distance","sequel"
"1","flixpatrol.com/title/the-lost-daughter/","The Lost Daughter",0,2,1,6.7,8,24,1,0
"2","flixpatrol.com/title/dark-shadows/","Dark Shadows",0,1,1,6.2,37,55,1,0
"3","flixpatrol.com/title/rise-of-the-guardians/","Rise of the Guardians",0,1,1,7.2,29,165,1,0
"4","flixpatrol.com/title/tides/","Tides",0,1,1,5.4,8,100,2,0
"5","flixpatrol.com/title/the-longest-yard-2005/","The Longest Yard",0,2,1,6.4,39,44,1,0
"6","flixpatrol.com/title/the-town/","The Town",0,2,1,7.5,8,50,1,0
"7","flixpatrol.com/title/first-sunday/","First Sunday",0,2,1,4.5,39,68,1,0
"8","flixpatrol.com/title/300/","300",0,1,1,7.6,8,57,2,0
"9","flixpatrol.com/title/emily-in-paris/","Emily in Paris",1,4,0,6.9,17,71.5,1,1
"10","flixpatrol.com/title/hype-house/","Hype House",1,1,0,1.9,17,4,2,0
"11","flixpatrol.com/title/queer-eye/","Queer Eye",1,3,0,8.5,39,3.5,1,1
"12","flixpatrol.com/title/brazen/","Brazen",0,2,1,4.1,37,75.5,2,0
"13","flixpatrol.com/title/after-we-fell/","After We Fell",0,1,1,4.7,12,39,3,0
"14","flixpatrol.com/title/under-suspicion-2000/","Under Suspicion",0,1,1,6.4,45,56,3,0
"15","flixpatrol.com/title/riverdance-the-animated-adventure/","Riverdance: The Animated Adventure",1,1,1,5.5,4,107,3,0
"16","flixpatrol.com/title/the-god-committee/","The God Committee",0,1,1,5.8,3,30,3,0
"17","flixpatrol.com/title/cobra-kai/","Cobra Kai",1,4,0,8.5,114,200.857142857143,1,1
"18","flixpatrol.com/title/stay-close/","Stay Close",1,4,0,6.9,18.3333333333333,62.3333333333333,1,0
"19","flixpatrol.com/title/the-witcher/","The Witcher",1,6,0,8.1,18.3333333333333,115,1,1
"20","flixpatrol.com/title/the-royal-treatment/","The Royal Treatment",1,2,1,5.2,23,56,3,0
"21","flixpatrol.com/title/munich-the-edge-of-war/","Munich: The Edge of War",1,1,1,6.8,27,55,4,0
"22","flixpatrol.com/title/dont-look-up-2021/","Don't Look Up",1,6,1,7.2,9.75,85.5,1,0
"23","flixpatrol.com/title/aileen-wuornos-american-boogeywoman/","Aileen Wuornos: American Boogeywoman",0,1,1,3.8,11,50,4,0
"24","flixpatrol.com/title/annabelle-creation/","Annabelle: Creation",0,2,1,6.5,11.5,25.5,3,0
"25","flixpatrol.com/title/just-go-with-it/","Just Go with It",0,4,1,6.4,34.5,39.75,1,0
"26","flixpatrol.com/title/my-fathers-violin/","My Father's Violin",1,1,1,6.4,27,34,4,0
"27","flixpatrol.com/title/journey-2-the-mysterious-island/","Journey 2: The Mysterious Island",0,4,1,5.7,26,147.333333333333,1,1
"28","flixpatrol.com/title/amandla/","Amandla",1,1,1,5.6,24,45,4,0
"29","flixpatrol.com/title/archive-81/","Archive 81",1,3,0,7.3,21.3333333333333,81.6666666666667,2,0
"30","flixpatrol.com/title/cheer/","Cheer",1,3,0,8.1,21.3333333333333,3.66666666666667,2,1
"31","flixpatrol.com/title/transformers-revenge-of-the-fallen/","Transformers: Revenge of the Fallen",0,1,1,5.9,26,64,5,1
"32","flixpatrol.com/title/can-you-keep-a-secret/","Can You Keep a Secret?",0,1,1,5.3,18,34,5,0
"33","flixpatrol.com/title/the-lucky-one/","The Lucky One",0,1,1,6.4,26,44,5,0
"34","flixpatrol.com/title/thats-my-boy/","That's My Boy",0,1,1,5.5,16,30,5,0
"35","flixpatrol.com/title/countdown-2019/","Countdown",0,1,1,5.4,26,22,5,0
"36","flixpatrol.com/title/in-from-the-cold/","In From the Cold",1,2,0,6.3,21,116.5,4,0
"37","flixpatrol.com/title/transformers-dark-of-the-moon/","Transformers: Dark of the Moon",0,2,1,6.2,26,66.5,5,1
"38","flixpatrol.com/title/the-other-guys/","The Other Guys",0,1,1,6.6,48,69,6,0
"39","flixpatrol.com/title/home-team/","Home Team",1,3,1,6,25,35.3333333333333,4,0
"40","flixpatrol.com/title/through-my-window/","Through My Window",1,1,1,5.4,22,67,6,0
"41","flixpatrol.com/title/warrior-2015/","Warrior",0,1,1,8.2,26,54,6,0
"42","flixpatrol.com/title/the-woman-in-the-house-across-the-street-from-the-girl-in-the-window/","The Woman in the House Across the Street from the Girl in the Window",1,3,0,6.4,21.3333333333333,99.3333333333333,4,0
"43","flixpatrol.com/title/tall-girl-2/","Tall Girl 2",1,2,1,4.7,21.5,85,6,1
"44","flixpatrol.com/title/fistful-of-vengeance/","Fistful of Vengeance",1,1,1,4.4,22,87,7,0
"45","flixpatrol.com/title/the-hangover/","The Hangover",0,2,1,7.7,48.5,34.5,6,0
"46","flixpatrol.com/title/last-man-down/","Last Man Down",0,1,1,3.6,11,43,7,0
"47","flixpatrol.com/title/raising-dion/","Raising Dion",1,3,0,7.1,5.66666666666667,48.6666666666667,5,1
