"","title.link","rank","title.name","exclusive","cumulative_rank","Type","platform","week_num","rating","genre_Action","genre_Crime","genre_Thriller","genre_Adventure","genre_Horror","genre_Sci-Fi","genre_Comedy","genre_Fantasy","genre_Drama","genre_Mystery","genre_Sport","genre_History","genre_War","genre_Family","genre_Animation","genre_Romance","genre_Biography","genre_Reality-TV","genre_Documentary","genre_News","genre_Game-Show","genre_Western","genre_Film-Noir","genre_Music","genre_Short","genre_Talk-Show","genre_Musical","mpaa_R_Restricted","mpaa_G_General_audiences","mpaa_PG_Parental_guidance_suggested","mpaa_PG13_Parents_strongly_cautioned","mpaa_NC17_Adults_only","mpaa_Not_Rated","genre"
"1","flixpatrol.com/title/the-equalizer-2/",1,"The Equalizer 2",NA,NA,"Movies","Hulu",1,6.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Action,Suspense"
"2","flixpatrol.com/title/world-war-z/",2,"World War Z",NA,NA,"Movies","Hulu",1,7,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Action,Sci-Fi"
"3","flixpatrol.com/title/jumanji-welcome-to-the-jungle/",3,"Jumanji: Welcome to the Jungle",NA,NA,"Movies","Hulu",1,6.9,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Action,Comedy"
"4","flixpatrol.com/title/sicario-2-soldado/",4,"Sicario: Day Of The Soldado",NA,NA,"Movies","Hulu",1,7,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Action,Suspense,Drama"
"5","flixpatrol.com/title/she-ball/",5,"She Ball",NA,NA,"Movies","Hulu",1,3.2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Comedy,Drama"
"6","flixpatrol.com/title/ripd/",6,"R.I.P.D.",NA,NA,"Movies","Hulu",1,5.6,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Action,Comedy,Suspense,Sci-Fi"
"7","flixpatrol.com/title/the-hobbit-an-unexpected-journey/",7,"The Hobbit: An Unexpected Journey",NA,NA,"Movies","Hulu",1,7.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Other"
"8","flixpatrol.com/title/12-strong/",8,"12 Strong",NA,NA,"Movies","Hulu",1,6.5,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Action,Drama"
"9","flixpatrol.com/title/deck-the-halls/",9,"Deck the Halls",NA,NA,"Movies","Hulu",1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Comedy,Family"
"10","flixpatrol.com/title/hustlers/",10,"Hustlers",NA,NA,"Movies","Hulu",1,6.3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Comedy,Suspense,Drama"
"11","flixpatrol.com/title/family-guy/",1,"Family Guy",NA,NA,"TV Shows","Hulu",1,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,"Family,Comedy"
"12","flixpatrol.com/title/power-book-ii-ghost/",2,"Power Book II: Ghost",NA,NA,"TV Shows","Hulu",1,7.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Suspense,Drama"
"13","flixpatrol.com/title/yellowjackets/",3,"Yellowjackets",NA,NA,"TV Shows","Hulu",1,7.9,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Drama,Suspense"
"14","flixpatrol.com/title/chicago-fire/",4,"Chicago Fire",NA,NA,"TV Shows","Hulu",1,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Action,Drama"
"15","flixpatrol.com/title/dexter-new-blood/",5,"Dexter: New Blood",NA,NA,"TV Shows","Hulu",1,8.1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Suspense,Drama"
"16","flixpatrol.com/title/futurama/",6,"Futurama",NA,NA,"TV Shows","Hulu",1,8.5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Family,Action,Comedy,Sci-Fi"
"17","flixpatrol.com/title/greys-anatomy/",7,"Grey's Anatomy",NA,NA,"TV Shows","Hulu",1,7.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Drama,Romance"
"18","flixpatrol.com/title/law-order-special-victims-unit/",8,"Law & Order: Special Victims Unit",NA,NA,"TV Shows","Hulu",1,8.1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Suspense,Drama"
"19","flixpatrol.com/title/landscapers/",9,"Landscapers",NA,NA,"TV Shows","Hulu",1,7,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Comedy,Suspense,Drama"
"20","flixpatrol.com/title/bobs-burgers/",10,"Bob's Burgers",NA,NA,"TV Shows","Hulu",1,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Family,Comedy"
"21","flixpatrol.com/title/the-suicide-squad/",1,"The Suicide Squad",NA,NA,"Movies","Hulu",2,7.2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Action,Comedy,Sci-Fi"
"22","flixpatrol.com/title/the-change-up/",2,"The Change-Up",NA,NA,"Movies","Hulu",2,6.3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Comedy"
"23","flixpatrol.com/title/the-survivalist-2021/",3,"The Survivalist",NA,NA,"Movies","Hulu",2,6.4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Drama,Sci-Fi,Suspense"
"24","flixpatrol.com/title/the-equalizer-2/",4,"The Equalizer 2",NA,NA,"Movies","Hulu",2,6.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Action,Suspense"
"25","flixpatrol.com/title/jumanji-welcome-to-the-jungle/",5,"Jumanji: Welcome to the Jungle",NA,NA,"Movies","Hulu",2,6.9,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Action,Comedy"
"26","flixpatrol.com/title/world-war-z/",6,"World War Z",NA,NA,"Movies","Hulu",2,7,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Action,Sci-Fi"
"27","flixpatrol.com/title/crime-story-2021/",7,"Crime Story",NA,NA,"Movies","Hulu",2,8.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Suspense,Drama"
"28","flixpatrol.com/title/mr-mrs-smith/",8,"Mr. & Mrs. Smith",NA,NA,"Movies","Hulu",2,6.5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Action,Comedy,Suspense"
"29","flixpatrol.com/title/sicario-2-soldado/",9,"Sicario: Day Of The Soldado",NA,NA,"Movies","Hulu",2,7,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Action,Suspense,Drama"
"30","flixpatrol.com/title/hulk/",10,"Hulk",NA,NA,"Movies","Hulu",2,5.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Action,Sci-Fi"
"31","flixpatrol.com/title/yellowjackets/",1,"Yellowjackets",NA,NA,"TV Shows","Hulu",2,7.9,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Drama,Suspense"
"32","flixpatrol.com/title/dexter-new-blood/",2,"Dexter: New Blood",NA,NA,"TV Shows","Hulu",2,8.1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Suspense,Drama"
"33","flixpatrol.com/title/power-book-ii-ghost/",3,"Power Book II: Ghost",NA,NA,"TV Shows","Hulu",2,7.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Suspense,Drama"
"34","flixpatrol.com/title/family-guy/",4,"Family Guy",NA,NA,"TV Shows","Hulu",2,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,"Family,Comedy"
"35","flixpatrol.com/title/chicago-fire/",5,"Chicago Fire",NA,NA,"TV Shows","Hulu",2,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Action,Drama"
"36","flixpatrol.com/title/law-order-special-victims-unit/",6,"Law & Order: Special Victims Unit",NA,NA,"TV Shows","Hulu",2,8.1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Suspense,Drama"
"37","flixpatrol.com/title/futurama/",7,"Futurama",NA,NA,"TV Shows","Hulu",2,8.5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Family,Action,Comedy,Sci-Fi"
"38","flixpatrol.com/title/next-level-chef/",8,"Next Level Chef",NA,NA,"TV Shows","Hulu",2,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Other"
"39","flixpatrol.com/title/bobs-burgers/",9,"Bob's Burgers",NA,NA,"TV Shows","Hulu",2,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Family,Comedy"
"40","flixpatrol.com/title/law-order-organized-crime/",10,"Law & Order: Organized Crime",NA,NA,"TV Shows","Hulu",2,7.7,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Suspense,Drama"
"41","flixpatrol.com/title/mr-mrs-smith/",1,"Mr. & Mrs. Smith",NA,NA,"Movies","Hulu",3,6.5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Action,Comedy,Suspense"
"42","flixpatrol.com/title/paul/",2,"Paul",NA,NA,"Movies","Hulu",3,6.9,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Action,Comedy,Sci-Fi"
"43","flixpatrol.com/title/the-suicide-squad/",3,"The Suicide Squad",NA,NA,"Movies","Hulu",3,7.2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Action,Comedy,Sci-Fi"
"44","flixpatrol.com/title/2-guns/",4,"2 Guns",NA,NA,"Movies","Hulu",3,6.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Action,Suspense"
"45","flixpatrol.com/title/role-models/",5,"Role Models",NA,NA,"Movies","Hulu",3,6.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Comedy"
"46","flixpatrol.com/title/hulk/",6,"Hulk",NA,NA,"Movies","Hulu",3,5.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Action,Sci-Fi"
"47","flixpatrol.com/title/sex-appeal/",7,"Sex Appeal",NA,NA,"Movies","Hulu",3,5.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Comedy,Drama,Romance"
"48","flixpatrol.com/title/when-in-rome/",8,"When in Rome",NA,NA,"Movies","Hulu",3,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Comedy,Romance"
"49","flixpatrol.com/title/welcome-home-roscoe-jenkins/",9,"Welcome Home Roscoe Jenkins",NA,NA,"Movies","Hulu",3,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Comedy,Romance"
