"","vif(lmNetflix_log_2)"
"AVG_Nmpaa_comp",10.3240432746775
"Holiday_distance",4.62584266817679
"AVG_Ngenre_comp",4.89429475176155
"rating",1.36131276042216
"exclusive",1.74230680593682
"Type",1.91529057670113
"sequel",1.22544219325445
"Drama",1.56220610771057
"Comedy",1.8189174423934
"Suspense",1.84951059438432
"Family",2.52475890668158
"Action",1.50797741926438
"Sci.Fi",1.21979986621984
"Romance",1.6700690484883
"Other",1.92117122681704
"mpaa_R_Restricted",4.43496936257606
"mpaa_G_General_audiences",1.59575079961447
"mpaa_PG_Parental_guidance_suggested",9.36402107168666
"mpaa_PG13_Parents_strongly_cautioned",17.5004306521418
"mpaa_NC17_Adults_only",9.97814673333027
"mpaa_Not_Rated",1.30621933495605
"AVG_Nmpaa_comp:Holiday_distance",6.9908286414713
"Holiday_distance:AVG_Ngenre_comp",6.37000599527344
